发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
-困到站着睡;1;6;7;60050;0.00011656952539550374
茶茶叶茶茶叶;1;24;25;60050;0.00041631973355537054
ipo观察;7;147;154;60050;0.0025645295587010826
刺猬卷卷毛;1;1;2;60050;3.330557868442964e-05
No94547;2;4;6;60050;9.991673605328893e-05
房长沙V;1;13;14;60050;0.00023313905079100749
出版人周筠;3;62;65;60050;0.0010824313072439634
晚然說;1;4;5;60050;8.326394671107411e-05
大头博士先生;2;168;170;60050;0.0028309741881765195
秦家舟舟;1;3;4;60050;6.661115736885928e-05
付亮的竞争情报应用;8;4;12;60050;0.00019983347210657785
在春天的山坡上打滚的小熊;24;4;28;60050;0.00046627810158201497
YOLO-岁月;6;8;14;60050;0.00023313905079100749
黄广斌-ELM;2;6;8;60050;0.00013322231473771856
asurahappyfew;1;1;2;60050;3.330557868442964e-05
webotAI人工智能;1;1;2;60050;3.330557868442964e-05
DMA不潜水;9;25;34;60050;0.0005661948376353039
冷死未死;1;1;2;60050;3.330557868442964e-05
爱可可-爱生活;1;21;22;60050;0.00036636136552872605
陆地野菜;1;4;5;60050;8.326394671107411e-05
欧啦弱弱小熊猫;3;4;7;60050;0.00011656952539550374
无脸兔嗷嗷嗷;1;3;4;60050;6.661115736885928e-05
香港商報網;2;2;4;60050;6.661115736885928e-05
Zzzletian;1;4;5;60050;8.326394671107411e-05
三金绝绝子;6;1;7;60050;0.00011656952539550374
分公司特工x;1;2;3;60050;4.995836802664446e-05
二道白河_eos;11;3;14;60050;0.00023313905079100749
檀印齿痕;21;59;80;60050;0.0013322231473771858
AlexCui聊车;2;3;5;60050;8.326394671107411e-05
人间烟火张有志;2;1;3;60050;4.995836802664446e-05
刘韧;3;20;23;60050;0.0003830141548709409
Sikikok6;3;4;7;60050;0.00011656952539550374
欲MA又止;1;1;2;60050;3.330557868442964e-05
Kevin在纽约;63;395;458;60050;0.007626977518734388
朱玉龙-YL;4;5;9;60050;0.0001498751040799334
姬永锋;6;48;54;60050;0.0008992506244796003
爱范儿;3;4;7;60050;0.00011656952539550374
东风寺_;3;1;4;60050;6.661115736885928e-05
央视财经;3;27;30;60050;0.0004995836802664446
Leslie献世;1;1;2;60050;3.330557868442964e-05
coderwhy;27;30;57;60050;0.0009492089925062448
肉山婆婆;7;35;42;60050;0.0006994171523730224
小蛋糕糕糕-;1;1;2;60050;3.330557868442964e-05
互联网的那点事;30;231;261;60050;0.004346378018318068
ThrobbingPitat-;16;6;22;60050;0.00036636136552872605
羊羔卷泥;9;1;10;60050;0.00016652789342214822
作家圆圆;1;5;6;60050;9.991673605328893e-05
Lusatncifer;2;1;3;60050;4.995836802664446e-05
Joker谶;1;2;3;60050;4.995836802664446e-05
李小熬v;5;11;16;60050;0.0002664446294754371
甜心小妙_;2;5;7;60050;0.00011656952539550374
IT源哥;5;6;11;60050;0.00018318068276436302
有鱼粮的猫;8;18;26;60050;0.00043297252289758537
我要梳大粗辫子;2;2;4;60050;6.661115736885928e-05
厄加特特;39;606;645;60050;0.01074104912572856
鸿雪厨;7;2;9;60050;0.0001498751040799334
宜宝whale;6;3;9;60050;0.0001498751040799334
巴萨美图;8;16;24;60050;0.0003996669442131557
七座金球召唤神龙;17;90;107;60050;0.001781848459616986
21世纪经济报道;2;12;14;60050;0.00023313905079100749
AI侠客宋学东;1;7;8;60050;0.00013322231473771856
萨村守望者;3;10;13;60050;0.00021648626144879268
搜达足球;12;14;26;60050;0.00043297252289758537
掉了一根睫毛;9;8;17;60050;0.00028309741881765195
麻汁和麻酱;1;2;3;60050;4.995836802664446e-05
-耀極刻祺航;6;3;9;60050;0.0001498751040799334
嗷嗷wxsa;15;4;19;60050;0.0003164029975020816
喧嚣堆积如山;1;3;4;60050;6.661115736885928e-05
AI-最前沿;2;3;5;60050;8.326394671107411e-05
清南师兄;146;4456;4602;60050;0.0766361365528726
笑瘾君;2;1;3;60050;4.995836802664446e-05
浙江日报;2;231;233;60050;0.003880099916736053
青州广电;1;3;4;60050;6.661115736885928e-05
养胃消失片钮钴禄氏;5;2;7;60050;0.00011656952539550374
玉困回眠;8;3;11;60050;0.00018318068276436302
