发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
阿龙wuli龙;1;3;4;37914;0.00010550192541013873
the星夜;19;84;103;37914;0.0027166745793110723
灬爱念;8;34;42;37914;0.0011077702168064568
TyrZTyr;1;4;5;37914;0.00013187740676267343
假非假;62;1083;1145;37914;0.030199926148652214
橙汁black;3;3;6;37914;0.0001582528881152081
不一样博客;3;19;22;37914;0.0005802605897557631
秃头的小苏;1;9;10;37914;0.00026375481352534686
山东小木;5;13;18;37914;0.0004747586643456243
Xinyu的生活体验记录;2;15;17;37914;0.0004483831829930896
小路成长;75;861;936;37914;0.024687450545972465
大湾仔元宇宙知识博主;34;208;242;37914;0.006382866487313394
Aaron白兔子;27;708;735;37914;0.019385978794112992
iAladdin;91;419;510;37914;0.013451495489792688
津门大白话;149;74;223;37914;0.005881732341615234
酒酒要磕糖;12;136;148;37914;0.003903571240175133
心路笔记;4;30;34;37914;0.0008967663659861792
雷达财经;18;23;41;37914;0.001081394735453922
烧披;4;5;9;37914;0.00023737933217281214
才好疼;13;20;33;37914;0.0008703908846336445
浮绿水的大鹅;43;202;245;37914;0.006461992931370997
绯-翠;1;12;13;37914;0.0003428812575829509
大河财立方;14;57;71;37914;0.0018726591760299626
小样儿不一样;1;6;7;37914;0.0001846283694677428
愿better;1;5;6;37914;0.0001582528881152081
成都完美世界培训;1;15;16;37914;0.0004220077016405549
运筹帷幄TNT;1;1;2;37914;5.2750962705069364e-05
大癌无疆;11;43;54;37914;0.001424275993036873
TyrZTyr;1;6;7;37914;0.0001846283694677428
南彭佑i;11;86;97;37914;0.0025584216911958644
程序猫大刚;2;4;6;37914;0.0001582528881152081
人民中科研究院;68;532;600;37914;0.01582528881152081
程序员晨光;2;6;8;37914;0.00021100385082027746
猫多少;56;123;179;37914;0.004721211162103708
老板联播;355;434;789;37914;0.020810254787149866
yeex_official;800;3814;4614;37914;0.12169647096059504
财经网科技频道;28;91;119;37914;0.0031386822809516273
相慕屿羽;1;2;3;37914;7.912644405760406e-05
教育学博士后奕妈;8;31;39;37914;0.0010286437727488526
白菜研究所;6;10;16;37914;0.0004220077016405549
DomainVirtual;1;13;14;37914;0.0003692567389354856
南彭佑i;33;320;353;37914;0.009310544917444744
黑色古木;1;0;1;37914;2.6375481352534682e-05
飞桨PaddlePaddle;19;109;128;37914;0.0033760616131244393
职业嗨;88;156;244;37914;0.006435617450018463
Fe盆;1;13;14;37914;0.0003692567389354856
TyrZTyr;2;9;11;37914;0.00029013029487788154
妖仙姐姐涂山苏苏;3;7;10;37914;0.00026375481352534686
看亿点未来;53;656;709;37914;0.01870021627894709
新商业联播视频号;39;54;93;37914;0.0024529197657857256
Jeffery石璞东_;1;3;4;37914;0.00010550192541013873
叶师傅来了;29;46;75;37914;0.001978161101440101
雷帝网;11;10;21;37914;0.0005538851084032284
关中铁人张大户;51;346;397;37914;0.010471066096956269
心思书院;3;1;4;37914;0.00010550192541013873
文心看世界;15;58;73;37914;0.001925410138735032
wu5shen;23;169;192;37914;0.00506409241968666
扒扒巴士;5;8;13;37914;0.0003428812575829509
大大大大土豆儿;2;0;2;37914;5.2750962705069364e-05
芒果树上猫;8;22;30;37914;0.0007912644405760405
不升级的老鸟;16;23;39;37914;0.0010286437727488526
lic聆字;4;7;11;37914;0.00029013029487788154
徐时廉;5;9;14;37914;0.0003692567389354856
学说商业思维;23;59;82;37914;0.002162789470907844
周知说;4;15;19;37914;0.000501134145698159
冰冻枪刃;10;30;40;37914;0.0010550192541013874
直播中;42;605;647;37914;0.01706493643508994
恰饭听故事;1;3;4;37914;0.00010550192541013873
刘兴亮;81;64;145;37914;0.0038244447961175293
MK-21;7;22;29;37914;0.0007648889592235059
Govei-;1;8;9;37914;0.00023737933217281214
Re-re-beLL;1;3;4;37914;0.00010550192541013873
贯一智能科技;75;286;361;37914;0.00952154876826502
Love丶伊卡洛斯;2;12;14;37914;0.0003692567389354856
君莫笑傻了;23;46;69;37914;0.0018199082133248932
乌有先生nobody;2;54;56;37914;0.0014770269557419424
氪金玩家麻花藤;4;22;26;37914;0.0006857625151659018
bili_5303233;3;7;10;37914;0.00026375481352534686
面包Bread10;12;70;82;37914;0.002162789470907844
マヒトイ;1;4;5;37914;0.00013187740676267343
搞怪的小周;79;194;273;37914;0.007200506409241969
徐时廉;10;134;144;37914;0.0037980693147649943
徽药说史;8;40;48;37914;0.001266023104921665
黑胖的职场避坑指南;10;105;115;37914;0.0030331803555414885
K_Render;16;68;84;37914;0.0022155404336129136
星辰入怀眠;18;27;45;37914;0.0011868966608640607
希拉蕊罗德姆克林蹲;2;10;12;37914;0.0003165057762304162
BT财经;67;46;113;37914;0.0029804293928364194
Ma5老师;46;247;293;37914;0.007728016036292662
何时夕丶;38;223;261;37914;0.006884000633011552
Thron3;53;430;483;37914;0.012739357493274253
你今儿;1;4;5;37914;0.00013187740676267343
AI小学僧;1;0;1;37914;2.6375481352534682e-05
_AntiGod;1;3;4;37914;0.00010550192541013873
生词通;1;3;4;37914;0.00010550192541013873
四十岁了只骑过125;1;13;14;37914;0.0003692567389354856
kxlnx;2;1;3;37914;7.912644405760406e-05
梦想大冒险家;1;1;2;37914;5.2750962705069364e-05
私董兰;2;1;3;37914;7.912644405760406e-05
安相宇;23;50;73;37914;0.001925410138735032
海思社;38;157;195;37914;0.005143218863744263
程序猿松露;16;40;56;37914;0.0014770269557419424
竹十一;3;8;11;37914;0.00029013029487788154
CG杨杰科研绘图;2;19;21;37914;0.0005538851084032284
刘的娃888;6;6;12;37914;0.0003165057762304162
一拳哥哥;136;376;512;37914;0.013504246452497757
直播中;582;4108;4690;37914;0.12370100754338767
直播中;25;291;316;37914;0.00833465210740096
徐岷波;1;9;10;37914;0.00026375481352534686
晓舟报告;44;291;335;37914;0.00883578625309912
lockypain;52;585;637;37914;0.016801181621564593
IDC数据中心666;2;0;2;37914;5.2750962705069364e-05
AI新手训练营;2;3;5;37914;0.00013187740676267343
灵镜实验室;21;64;85;37914;0.002241915914965448
芒果树上猫;3;5;8;37914;0.00021100385082027746
青蜂侠-Bee;360;1361;1721;37914;0.04539220340771219
火嚯灬红;2;5;7;37914;0.0001846283694677428
新象财经;27;121;148;37914;0.003903571240175133
华北最后的ikun;9;17;26;37914;0.0006857625151659018
alchain花生;26;78;104;37914;0.0027430500606636073
喵呜投研笔记;1;1;2;37914;5.2750962705069364e-05
元数DAO;1;4;5;37914;0.00013187740676267343
淘沙博士;66;2170;2236;37914;0.05897557630426755
孔老头苏老头;18;45;63;37914;0.001661655325209685
简减勿耽;2;0;2;37914;5.2750962705069364e-05
Destinychen9;11;34;45;37914;0.0011868966608640607
唯心不打伞;32;71;103;37914;0.0027166745793110723
Cyrus-Reed;2;36;38;37914;0.001002268291396318
以身证道的VLOG;2;7;9;37914;0.00023737933217281214
短的发布会;386;17000;17386;37914;0.458564118795168
青蜂侠-Bee;37;489;526;37914;0.013873503191433243
AI测试爱好者;1;1;2;37914;5.2750962705069364e-05
TyrZTyr;1;3;4;37914;0.00010550192541013873
闻界之语;1;5;6;37914;0.0001582528881152081
TyrZTyr;4;13;17;37914;0.0004483831829930896
二乐二乐;1;3;4;37914;0.00010550192541013873
逆天风男;3;3;6;37914;0.0001582528881152081
雷电与永恒的国度;1;10;11;37914;0.00029013029487788154
人似秋鸿来;2;2;4;37914;0.00010550192541013873
樱桃Cherryboom;2;7;9;37914;0.00023737933217281214
哈喽王叔叔;1;25;26;37914;0.0006857625151659018
才不要瑟瑟;2;3;5;37914;0.00013187740676267343
