发布者;群体情绪;时间
火锅试吃赠品买一送一;0.0007377803439854682;2023-02-01 13:51:01
荷花HOASEN;4.338124302236675e-05;2023-02-01 12:52:26
老雅痞;0.00018191920872865947;2023-02-01 11:46:55
韶芍今天吃饭了吗;-0.0002407495366770323;2023-02-01 11:04:01
华媒号;1.971785549234558e-05;2023-02-01 10:18:54
法语精灵严姐姐;0.00015154466652758918;2023-02-01 23:51:33
欧路词典;0.0004528109988900228;2023-02-01 15:54:07
宝玉xp;0.0005330047633475067;2023-02-01 14:51:56
臧否行;0.00012999244991235127;2023-02-01 11:11:39
同声翻译樱桃羊;0.001576473712199828;2023-02-01 11:10:29
跨境搬砖小吉吉;-0.0001089380159471697;2023-02-01 11:36:35
绿图哥;0.0023497775723627153;2023-02-02 23:29:13
oxjdtchydyc;-0.0002995395207687927;2023-02-02 18:58:50
菜爷CY;0.04728018686696273;2023-02-02 19:00:09
宝玉xp;0.005170514613828382;2023-02-02 19:02:25
夏日之阳新闻传播考研;0.0007858981499226836;2023-02-02 19:00:06
konanhaihai;-0.033282397629979185;2023-02-02 18:59:52
黄桃布丁_;5.371802478433936e-05;2023-02-03 09:44:11
一介大白菜;1.250130735033073e-05;2023-02-03 09:40:50
政治哲学导论过激发言bot;0.0011803580685892565;2023-02-03 00:42:42
宝玉xp;5.234376225102575e-05;2023-02-02 21:36:01
宝玉xp;0.000943610066076548;2023-02-03 07:10:20
FreenBecky天下第一甜;0.00012256408496243197;2023-02-03 00:29:40
请叫我职场总监;0.05372477760761543;2023-02-03 10:54:24
Willfid;-1.950137084877153e-05;2023-02-03 15:10:33
h1debound-;4.6680499958215195e-05;2023-02-03 10:07:36
突然一切都无影无踪;3.823555271711007e-05;2023-02-03 00:25:46
爱可可-爱生活;0.0004124103221728042;2023-02-02 22:18:43
瞎嗑续命;7.720642577025475e-06;2023-02-02 22:11:38
捞起月亮的皮卡丘;0.00033407893238431865;2023-02-02 22:54:25
亡鸟-;0.0006966533248815331;2023-02-02 22:02:03
三毒与刀;0.00013767959716091336;2023-02-02 20:38:37
宝玉xp;0.00045730170965351067;2023-02-02 20:32:04
Bubble_bear;0.017330353921291633;2023-02-02 21:57:08
鸢尾百合;0.0;2023-02-03 11:19:17
煮导论文秀才;2.3027703903033363e-05;2023-02-02 22:26:33
韩知城_脸颊肉储藏室;0.0032263751541186107;2023-02-02 22:02:29
月一;0.00013266847080247796;2023-02-02 21:48:57
Moki·;9.07696590933591e-05;2023-02-02 21:18:46
林亦LYi;0.0012485691207512948;2023-02-02 21:07:53
即刻;0.0025305403856977064;2023-02-02 21:07:25
汪加诚-;5.908404864787325e-05;2023-02-02 20:54:49
fall_ark;0.11676606307644533;2023-02-02 20:50:16
晋江-潇湘碧影;0.006895222601862436;2023-02-02 20:43:34
飞天小贼_;-0.00036854046787192473;2023-02-02 20:43:30
中科大胡不归;0.0011198604616622797;2023-02-02 20:12:59
神嘛事儿;0.0032546606110795623;2023-02-03 11:09:18
冲子老教授;0.001673843074309082;2023-02-03 11:06:30
一只猿的朝圣;0.00027168721500728325;2023-02-03 09:40:17
hyukhae_0511291640;0.00015880280366736428;2023-02-03 09:39:38
迷失暗酱;0.00010558401742701014;2023-02-03 09:38:17
爱折腾的Buffon;9.729615419745127e-05;2023-02-03 09:19:18
工藤烦烦子;-2.1685639560092003e-05;2023-02-03 09:17:47
紫外线是个人才;0.00025611253489664696;2023-02-03 00:33:50
姬永锋;9.398645455737155e-05;2023-02-02 23:05:42
苦丁山;0.0001424071878874236;2023-02-02 18:24:57
-yolfilm-;8.75159075599329e-05;2023-02-03 10:18:00
宝玉xp;0.00040798270219035863;2023-02-06 09:05:35
豆沙包里的彩虹豆;0.001535111963348986;2023-02-04 17:42:30
川上羽_赛博海王;-0.0012911910418058916;2023-02-08 17:34:41
左耳朵耗子;0.004865326981411172;2023-02-06 14:14:27
抹点素妍酱;0.0004184254079038137;2023-02-22 20:12:53
牛资料;0.0009808012250684993;2023-02-20 22:42:46
慕愁空Miss_Xu;0.0007202348355753533;2023-02-20 22:42:38
宝玉xp;-0.0007155206305278354;2023-02-20 11:16:09
智造圈;0.0002866809936482467;2023-02-14 09:06:01
屠龙的胭脂井;0.07263899178591372;2023-02-13 01:32:34
默默默音;0.00039926578177920495;2023-02-22 19:52:52
十二灯;0.0007765376324831821;2023-02-04 00:21:18
neonIight;0.0002561204029863241;2023-02-02 17:22:30
财经大乐;0.0024456528853118785;2023-02-02 16:23:39
神探omega;7.1970941438186e-05;2023-02-02 16:23:56
有鱼嫣;7.2350630064883e-05;2023-02-02 16:24:09
宝玉xp;0.019494565302627234;2023-02-02 16:23:55
勾减斯诺曼;0.0006632541415587816;2023-02-02 16:26:36
高清重置画质;5.927214414660502e-05;2023-02-02 16:25:18
左手投资记;2.7451742225587224e-05;2023-02-02 16:24:06
韶关那些事儿;6.180724113441605e-05;2023-02-02 16:25:10
神嘛事儿;0.008419637112904176;2023-02-02 16:24:44
沐沐茉;0.0004451560106123343;2023-02-02 16:26:40
狼狼狼狼狼狼狼七匹狼;6.897024399744196e-05;2023-02-02 16:29:06
黑羊厨;0.000440545625301265;2023-02-02 16:27:05
火朗_HwafoxGallery;0.00017216273430963034;2023-02-02 16:25:59
huu00_狐;-0.00029643024576902723;2023-02-02 16:24:37
脑机接口火老师;5.744722181645094e-05;2023-02-02 16:23:46
ZOL中关村在线;0.0002529412239720439;2023-02-02 16:26:08
宝玉xp;0.003941991876889535;2023-02-02 16:32:13
all明烟;-0.0001291872091892886;2023-02-02 16:29:09
绯炎_TsagoDegiNaleya;-4.979342657703095e-05;2023-02-02 16:29:00
英之cai;-3.644846551414675e-05;2023-02-02 16:28:11
姬永锋;0.00025470431612405566;2023-02-02 16:24:46
优雅端庄晚风;8.921045431385732e-05;2023-02-02 16:24:25
云玩家本本子;0.0006450431798716915;2023-02-02 16:24:23
睡觉大王吗;0.0006800167227470453;2023-02-02 16:23:54
pentokary-pk;-8.759664917221164e-05;2023-02-02 16:23:48
中国战略支援;0.0012277081981147474;2023-02-06 21:47:30
上帝爱子;0.00019975448668930513;2023-02-02 18:53:18
华尔街见闻APP;0.00020721380945172248;2023-02-02 17:46:32
哥斯拉_yu;0.0002965566256237357;2023-02-02 15:48:28
智造圈;0.0006901516062597517;2023-02-02 17:00:19
张辛欣;0.0008998227853810549;2023-02-02 15:42:11
华山派小6;0.0013801052727932365;2023-02-02 21:01:13
