发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
抱上海绵宝宝去漂流DAYTOY;1;1;2;40435;4.9462099666130826e-05
众合法考教育;12;356;368;40435;0.009101026338568073
读者吐槽bot_;9;92;101;40435;0.0024978360331396068
HR帝李晶;1;1;2;40435;4.9462099666130826e-05
犹太人陆燕青;2;1;3;40435;7.419314949919624e-05
每日荐游君;32;368;400;40435;0.009892419933226166
竹马APP;6;537;543;40435;0.01342896005935452
法国文学bot;25;882;907;40435;0.02243106219859033
大公文匯網;3;13;16;40435;0.0003956967973290466
UCG稀饭;3;2;5;40435;0.00012365524916532706
电竞召唤师;10;122;132;40435;0.0032644985779646347
中国战略支援;9;60;69;40435;0.0017064424384815135
女侠有了娃;2;58;60;40435;0.0014838629899839248
哗哗huahua哗哗;3;18;21;40435;0.0005193520464943737
张辛欣;10;14;24;40435;0.0005935451959935699
差评君;30;195;225;40435;0.005564486212439718
龍冬;3;25;28;40435;0.0006924693953258316
立志做一只佛系小暖鸭;3;1;4;40435;9.892419933226165e-05
写手吐槽bot_;19;1010;1029;40435;0.02544825027822431
我和科技那些事;54;353;407;40435;0.010065537282057623
同人女bot;8;318;326;40435;0.008062322245579324
懿领土_1113;6;16;22;40435;0.0005440830963274391
heyaniaaaay_18;2;1;3;40435;7.419314949919624e-05
做gfw不如出家;5;25;30;40435;0.0007419314949919624
minger8888;2;2;4;40435;9.892419933226165e-05
深海姐姐Selina;1;4;5;40435;0.00012365524916532706
固体废物_;3;2;5;40435;0.00012365524916532706
远帆pro;2;7;9;40435;0.00022257944849758872
南方周末;6;10;16;40435;0.0003956967973290466
马达的加斯加;6;60;66;40435;0.0016322492889823174
袭击兀;3;299;302;40435;0.007468777049585755
YYYYY0024;2;1;3;40435;7.419314949919624e-05
三天两觉是也;344;6499;6843;40435;0.16923457400766662
里八神;10;44;54;40435;0.0013354766909855324
价值投资日志;2;7;9;40435;0.00022257944849758872
Miss汉谟拉比;6;375;381;40435;0.009422529986397922
译林出版社;63;50;113;40435;0.002794608631136392
写手吐槽bot_;11;74;85;40435;0.00210213923581056
同人女bot;17;358;375;40435;0.00927414368739953
只搞真实;2;1;3;40435;7.419314949919624e-05
颜科技;8;12;20;40435;0.0004946209966613083
Drakeet;7;14;21;40435;0.0005193520464943737
微博音乐;4;9;13;40435;0.00032150364782985037
写手吐槽bot_;17;485;502;40435;0.012414987016198838
陆上无井_;1;2;3;40435;7.419314949919624e-05
吴小轶老师;12;37;49;40435;0.0012118214418202053
何时郴_;1;4;5;40435;0.00012365524916532706
骑桶人;2;130;132;40435;0.0032644985779646347
莲子白衣;12;197;209;40435;0.0051687894151106716
白娟_Jolie;15;13;28;40435;0.0006924693953258316
宝玉xp;7;298;305;40435;0.007542970199084951
狗哥机器人4丶0版;16;21;37;40435;0.0009150488438234203
7526389043_752;13;441;454;40435;0.011227896624211697
-不明blind-;2;26;28;40435;0.0006924693953258316
墅姐聊跨境;7;21;28;40435;0.0006924693953258316
骑桶人;4;53;57;40435;0.0014096698404847286
左耳朵耗子;33;984;1017;40435;0.025151477680227526
祝佳音;6;116;122;40435;0.0030171880796339805
桂圭看来看去;-7;1;-6;40435;-0.00014838629899839248
Quincy_Liu;1;3;4;40435;9.892419933226165e-05
佛心蛊虫2;12;199;211;40435;0.005218251514776802
飞鸟DA;2;1;3;40435;7.419314949919624e-05
饼月干;9;82;91;40435;0.0022505255348089525
香煎珐琅彩;1;1;2;40435;4.9462099666130826e-05
电动爹EVDaddy;2;10;12;40435;0.00029677259799678495
知产误我;1;1;2;40435;4.9462099666130826e-05
游戏圈资讯君;2;36;38;40435;0.0009397798936564857
新媒沈阳;1;19;20;40435;0.0004946209966613083
岳东晓博士;16;86;102;40435;0.002522567082972672
墅姐聊跨境;11;159;170;40435;0.00420427847162112
仿生白银提督会梦见电子小画家吗;2;10;12;40435;0.00029677259799678495
7526389043_752;5;21;26;40435;0.0006430072956597007
五花王II;9;131;140;40435;0.003462346976629158
E伯爵;6;66;72;40435;0.0017806355879807097
写手吐槽bot_;27;501;528;40435;0.013057994311858539
一只猿的朝圣;4;2;6;40435;0.00014838629899839248
摸鱼的掌柜;4;20;24;40435;0.0005935451959935699
兽数码;3;16;19;40435;0.00046988994682824284
UNCLE疯叔;6;14;20;40435;0.0004946209966613083
投资伯乐;1;24;25;40435;0.0006182762458266354
悦夏竹影;4;3;7;40435;0.0001731173488314579
天玑-无极领域;7;132;139;40435;0.0034376159267960923
于欣烈;3;37;40;40435;0.0009892419933226165
骑桶人;12;290;302;40435;0.007468777049585755
两色风景嘎;22;559;581;40435;0.014368739953011005
姬永锋;1;14;15;40435;0.0003709657474959812
苦丁山;6;37;43;40435;0.0010634351428218127
迷途小两色;2;43;45;40435;0.0011128972424879436
唐极鲸;28;868;896;40435;0.02215902065042661
麦田烂布;1;2;3;40435;7.419314949919624e-05
邪吻受难者交流中心;20;545;565;40435;0.013973043155681958
飞哥说留学;2;12;14;40435;0.0003462346976629158
eudht_;2;1;3;40435;7.419314949919624e-05
赵昱鲲;27;261;288;40435;0.007122542351922839
证券市场红周刊;2;8;10;40435;0.00024731049833065413
Puredee_梭哈逻辑;32;108;140;40435;0.003462346976629158
写手吐槽bot_;15;104;119;40435;0.0029429949301347843
yang股说;12;13;25;40435;0.0006182762458266354
写手吐槽bot_;23;461;484;40435;0.011969828119203661
JwhSir-;5;12;17;40435;0.000420427847162112
治愈系心理学;4;162;166;40435;0.004105354272288858
班叔;1;84;85;40435;0.00210213923581056
互联网纵横;2;5;7;40435;0.0001731173488314579
价值投资日志;5;14;19;40435;0.00046988994682824284
IT观察猿;81;256;337;40435;0.008334363793743044
沐风侃大山;30;38;68;40435;0.001681711388648448
仰问千年事;3;8;11;40435;0.00027204154816371954
西南医科大学青年全媒体中心;37;40;77;40435;0.0019042908371460368
价值投资日志;4;8;12;40435;0.00029677259799678495
互联网的那点事;15;61;76;40435;0.0018795597873129714
跨境背包客;2;40;42;40435;0.0010387040929887474
北京大房子;4;7;11;40435;0.00027204154816371954
我不是盆栽啊;1;22;23;40435;0.0005688141461605045
每日经济新闻;4;14;18;40435;0.00044515889699517743
岳东晓博士;44;1410;1454;40435;0.03595894645727711
休城社会闲散人士;8;104;112;40435;0.0027698775813033262
宝玉xp;2;38;40;40435;0.0009892419933226165
三个设计师;1;74;75;40435;0.0018548287374799061
班叔;66;1028;1094;40435;0.02705576851737356
字语智能-小宇;1;2;3;40435;7.419314949919624e-05
煮导论文秀才;1;1;2;40435;4.9462099666130826e-05
识物客;123;1193;1316;40435;0.03254606158031408
山木山木山;2;2;4;40435;9.892419933226165e-05
左宁刑诉;83;696;779;40435;0.019265487819957957
Noey懦已;1;4;5;40435;0.00012365524916532706
金融八卦女;3;109;112;40435;0.0027698775813033262
蟹苗小夏;1;7;8;40435;0.0001978483986645233
栗子荔枝励志_;1;1;2;40435;4.9462099666130826e-05
互联网三爷;3;74;77;40435;0.0019042908371460368
我也想要ssr鸭;6;39;45;40435;0.0011128972424879436
福生小子;1;5;6;40435;0.00014838629899839248
原鹿--;1;3;4;40435;9.892419933226165e-05
宝玉xp;16;306;322;40435;0.007963398046247063
休宝可爱捏;1;5;6;40435;0.00014838629899839248
_World_exe;1;4;5;40435;0.00012365524916532706
呱唧不会挂机;1;1;2;40435;4.9462099666130826e-05
盈步婀娜Grace;1;7;8;40435;0.0001978483986645233
双鸭山共青团;1;2;3;40435;7.419314949919624e-05
满月陨石的背面;2;1;3;40435;7.419314949919624e-05
独立站Megan;8;59;67;40435;0.0016569803388153826
Michelle最爱保罗;3;1;4;40435;9.892419933226165e-05
舒国华的微博;1;5;6;40435;0.00014838629899839248
科学有故事汪诘;14;32;46;40435;0.001137628292321009
电子便利贴;45;883;928;40435;0.022950414245084705
鍋盖頭司令;172;803;975;40435;0.02411277358723878
优设AIGC;5;91;96;40435;0.0023741807839742796
电商品牌报;1;17;18;40435;0.00044515889699517743
日暮渐远Now;1;1;2;40435;4.9462099666130826e-05
写手吐槽bot_;6;99;105;40435;0.0025967602324718686
痕迹检验师九滴水;15;125;140;40435;0.003462346976629158
菜爷CY;74;1731;1805;40435;0.04463954494868307
小猪快跑lululu;1;4;5;40435;0.00012365524916532706
冷圈选手吐槽;33;426;459;40435;0.011351551873377025
折春去;3;8;11;40435;0.00027204154816371954
写手吐槽bot_;8;76;84;40435;0.002077408185977495
猛猛背单词;1;1;2;40435;4.9462099666130826e-05
写手吐槽bot_;25;787;812;40435;0.020081612464449117
欧路词典;20;15;35;40435;0.0008655867441572895
月泠音_猛兽注意;5;7;12;40435;0.00029677259799678495
山月俱相逢_;1;1;2;40435;4.9462099666130826e-05
Semillon17;2;1;3;40435;7.419314949919624e-05
二分音君;3;13;16;40435;0.0003956967973290466
江懿秋;1;2;3;40435;7.419314949919624e-05
祝佳音;19;235;254;40435;0.006281686657598615
z3r0yu;2;11;13;40435;0.00032150364782985037
读者吐槽bot_;13;52;65;40435;0.0016075182391492519
中国教育新闻网;1;3;4;40435;9.892419933226165e-05
肖茉莉Molly;2;4;6;40435;0.00014838629899839248
冷圈选手吐槽;30;649;679;40435;0.016792382836651416
瑜术临疯;1;5;6;40435;0.00014838629899839248
lofter溺夜;2;5;7;40435;0.0001731173488314579
自由倒计时器;1;2;3;40435;7.419314949919624e-05
最烦别人偷看我微博;1;1;2;40435;4.9462099666130826e-05
零上瞻花;1;12;13;40435;0.00032150364782985037
朽月子;2;1;3;40435;7.419314949919624e-05
邪吻受难者交流中心;10;184;194;40435;0.004797823667614691
卡玛佐兹神教班;5;2;7;40435;0.0001731173488314579
cos_ima;2;3;5;40435;0.00012365524916532706
行鸢_;14;725;739;40435;0.01827624582663534
杀死那头梅花鹿;2;3;5;40435;0.00012365524916532706
-对影成三人-;1;18;19;40435;0.00046988994682824284
安哥的小马;1;3;4;40435;9.892419933226165e-05
仲夏热望_我担第一位三本百万收;2;12;14;40435;0.0003462346976629158
noubot;1;1;2;40435;4.9462099666130826e-05
铁血科学家;1;18;19;40435;0.00046988994682824284
是柊啾啾不是柊秋秋233;1;1;2;40435;4.9462099666130826e-05
葡萄一万颗;2;4;6;40435;0.00014838629899839248
孤独地咽气;3;3;6;40435;0.00014838629899839248
Flamebringer;1;3;4;40435;9.892419933226165e-05
森赛;72;162;234;40435;0.005787065660937307
黑芝麻的糊;2;8;10;40435;0.00024731049833065413
骡木木;1;4;5;40435;0.00012365524916532706
五悠教总坛;28;225;253;40435;0.0062569556077655495
鸮栖0879;3;5;8;40435;0.0001978483986645233
青梧疏桐_3xe;3;41;44;40435;0.0010881661926548782
朕本来想摸一摸你的头发;1;9;10;40435;0.00024731049833065413
猫可以拉多长;1;2;3;40435;7.419314949919624e-05
这张卡正在看周泽楷;8;11;19;40435;0.00046988994682824284
肉桂豆蔻茶;1;1;2;40435;4.9462099666130826e-05
月泠音_猛兽注意;5;39;44;40435;0.0010881661926548782
星lxt;1;9;10;40435;0.00024731049833065413
你真的要及时止损;8;71;79;40435;0.0019537529368121678
陶朗歌;6;243;249;40435;0.006158031408433288
Galaxy数码菌;1;2;3;40435;7.419314949919624e-05
紅涸山谷;8;93;101;40435;0.0024978360331396068
俏鼠黄vs野生兔娜_导演剪辑版;4;18;22;40435;0.0005440830963274391
软件侠何二;4;3;7;40435;0.0001731173488314579
赛博爬山虎;2;3;5;40435;0.00012365524916532706
不可食用月亮;2;1;3;40435;7.419314949919624e-05
优设基础训练营;4;79;83;40435;0.002052677136144429
船船船船船;1;1;2;40435;4.9462099666130826e-05
三叶木拖;1;11;12;40435;0.00029677259799678495
被你咬过的痕迹至今依旧没有消失;5;9;14;40435;0.0003462346976629158
婷子Labs;1;5;6;40435;0.00014838629899839248
taciturn_stars;2;8;10;40435;0.00024731049833065413
我和科技那些事;50;171;221;40435;0.005465562013107456
安睡黑巧冰淇淋;2;1;3;40435;7.419314949919624e-05
甘蓝我的人在哪里;3;7;10;40435;0.00024731049833065413
杰森陶德唯一指定真爱;1;1;2;40435;4.9462099666130826e-05
是骗骗也是听雪;4;9;13;40435;0.00032150364782985037
小狗真芝棒;4;20;24;40435;0.0005935451959935699
小鸟是最可爱的;1;1;2;40435;4.9462099666130826e-05
Hlidksjalf;2;2;4;40435;9.892419933226165e-05
枚疏;1;2;3;40435;7.419314949919624e-05
熄灯后的影子;3;19;22;40435;0.0005440830963274391
安静码字的姬末;3;13;16;40435;0.0003956967973290466
回转萤火;2;9;11;40435;0.00027204154816371954
手抓蜜桃疯饼;2;42;44;40435;0.0010881661926548782
眼镜军服鳖性恋厨;1;6;7;40435;0.0001731173488314579
夯她D1矿工专属酷拉皮卡;4;3;7;40435;0.0001731173488314579
楚九江_帕底亚迷路专业户;2;8;10;40435;0.00024731049833065413
藤法月;1;1;2;40435;4.9462099666130826e-05
Simon_阿文;38;913;951;40435;0.02351922839124521
柳州东尹;151;552;703;40435;0.017385928032644986
盆栽君种牡蛎;4;37;41;40435;0.001013973043155682
PresientH;2;1;3;40435;7.419314949919624e-05
囿壹尰覹笶嘂源歌;1;4;5;40435;0.00012365524916532706
从心派;3;16;19;40435;0.00046988994682824284
宝玉xp;3;15;18;40435;0.00044515889699517743
印象笔记;5;1;6;40435;0.00014838629899839248
本恰恰-;5;41;46;40435;0.001137628292321009
SCUT魏剑峰;3;71;74;40435;0.0018300976876468407
酒徒am37;2;22;24;40435;0.0005935451959935699
巫昂;19;56;75;40435;0.0018548287374799061
福建新闻广播fm1036;4;2;6;40435;0.00014838629899839248
_村西边老王_;6;89;95;40435;0.0023494497341412144
无戒withoutlimitations;1;2;3;40435;7.419314949919624e-05
智玩TOP;6;21;27;40435;0.0006677383454927662
就找你茬嘿嘿嘿;2;1;3;40435;7.419314949919624e-05
ConvergenceFER;1;1;2;40435;4.9462099666130826e-05
邪吻受难者交流中心;7;82;89;40435;0.002201063435142822
明天也一起加油吧;53;1098;1151;40435;0.02846543835785829
初凉一一;2;1;3;40435;7.419314949919624e-05
_M_买烤红薯的请走后门;1;2;3;40435;7.419314949919624e-05
优设AIGC;4;76;80;40435;0.001978483986645233
真主钦点仁波刀;26;202;228;40435;0.005638679361938914
王落北;4;40;44;40435;0.0010881661926548782
老太太不会玩微博;3;29;32;40435;0.0007913935946580932
疯狂大象;1;1;2;40435;4.9462099666130826e-05
宝玉xp;15;237;252;40435;0.006232224557932484
陆源;1;3;4;40435;9.892419933226165e-05
锦仃;1;6;7;40435;0.0001731173488314579
Yourone精选;37;137;174;40435;0.004303202670953382
仿生鳐鱼;6;9;15;40435;0.0003709657474959812
粒正在云养儿;2;5;7;40435;0.0001731173488314579
电商品牌报;3;4;7;40435;0.0001731173488314579
量子位;18;131;149;40435;0.0036849264251267466
宝玉xp;23;283;306;40435;0.007567701248918017
是寂寂寂然啊;4;2;6;40435;0.00014838629899839248
龙哥数学之旅;2;2;4;40435;9.892419933226165e-05
HeartyEnglish;11;528;539;40435;0.013330035860022259
敏哥跨境记;1;1;2;40435;4.9462099666130826e-05
木遥;65;1736;1801;40435;0.04454062074935081
人工智障-智子sophoN__;4;1;5;40435;0.00012365524916532706
陶朗歌;1;4;5;40435;0.00012365524916532706
六月乐火;4;12;16;40435;0.0003956967973290466
是小鱼biubiu;1;3;4;40435;9.892419933226165e-05
厄加特特;353;941;1294;40435;0.03200197848398664
霜雪人间;1;25;26;40435;0.0006430072956597007
科工力量;1;28;29;40435;0.000717200445158897
张宾爱电商;83;270;353;40435;0.008730060591072092
蓝蛱闪蝶;1;3;4;40435;9.892419933226165e-05
张忆安-龙战于野;2;7;9;40435;0.00022257944849758872
遇见楚苏管理组;85;185;270;40435;0.006677383454927662
俄罗斯卫星通讯社;2;31;33;40435;0.0008161246444911587
IT数码港;11;132;143;40435;0.003536540126128354
玖玖说股事;7;128;135;40435;0.003338691727463831
雲紋Wen;3;40;43;40435;0.0010634351428218127
马克少年;65;4397;4462;40435;0.11034994435513787
少数派sspai;1;27;28;40435;0.0006924693953258316
伤心话讲给猫咪l;1;1;2;40435;4.9462099666130826e-05
新浪财经;2;8;10;40435;0.00024731049833065413
Tiamat生成式人工智能;1;8;9;40435;0.00022257944849758872
凯恩斯;2;18;20;40435;0.0004946209966613083
央视财经;9;29;38;40435;0.0009397798936564857
小央视频;2;1;3;40435;7.419314949919624e-05
阿金宝的脑洞;1;6;7;40435;0.0001731173488314579
电网头条;6;13;19;40435;0.00046988994682824284
V闪闪;5;75;80;40435;0.001978483986645233
抓马扣叔;39;388;427;40435;0.010560158278718932
邓浩志教买房;3;8;11;40435;0.00027204154816371954
老麦煮机;6;40;46;40435;0.001137628292321009
Xilo-Y;1;1;2;40435;4.9462099666130826e-05
哈姆哈姆hm;4;7;11;40435;0.00027204154816371954
十五ei;1;1;2;40435;4.9462099666130826e-05
ahhhhfs;1;2;3;40435;7.419314949919624e-05
仮面骑士星骑;1;4;5;40435;0.00012365524916532706
逃亡主义花火;3;5;8;40435;0.0001978483986645233
很烦的咕咕鱼莫挨;1;3;4;40435;9.892419933226165e-05
