发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
"吃屁猪猪侠GPT
发消息";125;601;726;82238;0.008828035701257326
"vr老铁
发消息";1;6;7;82238;8.511880152727449e-05
"以页同学
发消息";10;38;48;82238;0.0005836717819013109
"假夜君
发消息";14;53;67;82238;0.000814708528903913
"莱森LysonOber
发消息";104;810;914;82238;0.011114083513704126
"无知便是罪
发消息";21;314;335;82238;0.004073542644519565
"刺客边风
发消息";16;372;388;82238;0.004718013570368929
"枂凪
发消息";3;5;8;82238;9.727863031688514e-05
"天依天依殿下
发消息";2;3;5;82238;6.079914394805321e-05
"阿柴-Aaron
发消息";79;79;158;82238;0.0019212529487584815
"合桃派
发消息";4;22;26;82238;0.0003161555485298767
"ZEALER官方频道
发消息";33;200;233;82238;0.0028332401079792795
"科工力量
发消息";74;4447;4521;82238;0.05497458595782971
"技术民工阿达老师
发消息";5;49;54;82238;0.0006566307546389746
"每日欢热狗
发消息";1;384;385;82238;0.004681534084000097
"威科夫甄选课
发消息";2;6;8;82238;9.727863031688514e-05
"史丹福机器人庞博士
发消息";16;110;126;82238;0.001532138427490941
"库尼娅
发消息";6;25;31;82238;0.0003769546924779299
"YZ天泽
发消息";23;35;58;82238;0.0007052700697974172
"小屋pro
发消息";2;3;5;82238;6.079914394805321e-05
"OPPO山东
发消息";17;98;115;82238;0.0013983803108052239
"热男HotGuys
发消息";11;47;58;82238;0.0007052700697974172
"娜塔莉老师讲外刊翻译
发消息";52;34;86;82238;0.0010457452759065151
"倾城muma
发消息";11;31;42;82238;0.000510712809163647
"Web3Labs
发消息";2;11;13;82238;0.00015807777426493836
"不务正业的科研狗
发消息";490;1104;1594;82238;0.019382767090639363
"番茄评测
发消息";12;79;91;82238;0.0011065444198545685
"QDEASq
发消息";17;242;259;82238;0.003149395656509156
"ash啊修
发消息";3;28;31;82238;0.0003769546924779299
"赢霄灏
发消息";125;31000;31125;82238;0.37847467107663124
"狐狸等间隔
发消息";1;39;40;82238;0.0004863931515844257
"莓子哇
发消息";38;637;675;82238;0.008207884432987183
"珍妮特本特
发消息";21;197;218;82238;0.00265084267613512
"囧阿琪i
发消息";10;225;235;82238;0.002857559765558501
"小高嘚啵嘚
发消息";9;24;33;82238;0.0004012743500571512
"玛珂娜
发消息";508;19000;19508;82238;0.23721394002772442
"奖励你个大嘴巴子
发消息";2;0;2;82238;2.4319657579221285e-05
"狂人克拉克
发消息";2;76;78;82238;0.0009484666455896301
"飘零亻
发消息";4;19;23;82238;0.0002796760621610448
"杀手在吃饭
发消息";1;2;3;82238;3.647948636883193e-05
"太乙周慕云
发消息";3;31;34;82238;0.00041343417884676185
"玛珂娜
发消息";564;7831;8395;82238;0.10208176268878134
"奥文同学
发消息";78;4539;4617;82238;0.056141929521632335
"鸿蒙玩机技巧
发消息";8;57;65;82238;0.0007903888713246917
"苳冬昸董
发消息";1;112;113;82238;0.0013740606532260027
"薛定谔の彩虹猫
发消息";41;559;600;82238;0.007295897273766385
"是秋天呐丶
发消息";12;183;195;82238;0.002371166613974075
"Linux中国
发消息";8;123;131;82238;0.0015929375714389942
"吃屁猪猪侠GPT
发消息";6;34;40;82238;0.0004863931515844257
"ArthurNoFilter
发消息";21;145;166;82238;0.0020185315790753667
"NC_Memz
发消息";1;28;29;82238;0.0003526350348987086
"Winnie的小鳄鱼
发消息";169;1611;1780;82238;0.021644495245506944
"Simon无限可能
发消息";20;35;55;82238;0.0006687905834285853
"Aankh
发消息";26;1440;1466;82238;0.0178263090055692
"龙岩二花网络科技
发消息";10;131;141;82238;0.0017145358593351006
"太上无极AI
发消息";173;2146;2319;82238;0.02819864296310708
"差评硬件部
发消息";42;650;692;82238;0.008414601522410565
"北京三里屯土特产代购
发消息";6;118;124;82238;0.0015078187699117196
"哩个北七
发消息";4;21;25;82238;0.0003039957197402661
"正邪様
发消息";2;9;11;82238;0.00013375811668571707
"萧晓小-笑
发消息";4;19;23;82238;0.0002796760621610448
"小猴学府
发消息";14;73;87;82238;0.001057905104696126
"排行榜TOP
发消息";54;1113;1167;82238;0.014190520197475619
"朔中之硕
发消息";4;37;41;82238;0.0004985529803740364
"Louis翔
发消息";6;23;29;82238;0.0003526350348987086
"直播中
かいなか
发消息";16;138;154;82238;0.001872613633600039
"知讯谷
发消息";2;16;18;82238;0.00021887691821299157
"阴千杂
发消息";299;1787;2086;82238;0.0253654028551278
"苏拉_Felix
发消息";17;134;151;82238;0.001836134147231207
"Larry想做技术大佬
发消息";775;14000;14775;82238;0.17966147036649724
"buding_手写AI
发消息";13;46;59;82238;0.0007174298985870279
"趣乐数码
发消息";6;15;21;82238;0.0002553564045818235
"巴西烤肉a
发消息";3;63;66;82238;0.0008025487001143024
"src_resources
发消息";5;9;14;82238;0.00017023760305454898
"巴西烤肉a
发消息";10;157;167;82238;0.0020306914078649773
"E1xP
发消息";51;195;246;82238;0.002991317882244218
"1906
发消息";52;205;257;82238;0.003125075998929935
"怂松鼠
发消息";12;23;35;82238;0.0004255940076363725
"香芋派Taro
发消息";9;47;56;82238;0.0006809504122181959
"科技捕手
发消息";3;8;11;82238;0.00013375811668571707
"要顺利毕业吖
发消息";2;1;3;82238;3.647948636883193e-05
"虾玩科技
发消息";6;45;51;82238;0.0006201512682701427
"光影1855
发消息";1;6;7;82238;8.511880152727449e-05
"CNC爱好者老陈
发消息";15;233;248;82238;0.0030156375398234393
"风逝痕天风啾啾猫猫
发消息";4;12;16;82238;0.00019455726063377028
"hongyue2008
发消息";2;2;4;82238;4.863931515844257e-05
"豚骨拉面--
发消息";8;59;67;82238;0.000814708528903913
"科技地雷
发消息";1;4;5;82238;6.079914394805321e-05
"论文可视化
发消息";8;25;33;82238;0.0004012743500571512
"哩个北七
发消息";3;11;14;82238;0.00017023760305454898
"教练说德州
发消息";4;152;156;82238;0.0018969332911792601
"五里墩茶社
发消息";1;5;6;82238;7.295897273766386e-05
"太上无极AI
发消息";9;38;47;82238;0.0005715119531117002
"某科君
发消息";31;4708;4739;82238;0.05762542863396483
"海浮云
发消息";1;16;17;82238;0.00020671708942338092
"多格多乐多
发消息";6;69;75;82238;0.0009119871592207982
"Cc落败
发消息";2;7;9;82238;0.00010943845910649579
"阿拆家的派大歆
发消息";12;104;116;82238;0.0014105401395948344
"bili的dili
发消息";1;4;5;82238;6.079914394805321e-05
"陈怀徵
发消息";1;7;8;82238;9.727863031688514e-05
"龍門近衛局槍弩部
发消息";15;242;257;82238;0.003125075998929935
"我们的翻译官
发消息";4;6;10;82238;0.00012159828789610642
"金剪刀开箱
发消息";20;52;72;82238;0.0008755076728519663
"影墨AI
发消息";3;24;27;82238;0.0003283153773194873
"迷叔说事
发消息";46;54;100;82238;0.0012159828789610643
"AnyTranz
发消息";4;12;16;82238;0.00019455726063377028
"bili的dili
发消息";3;12;15;82238;0.00018239743184415963
"太上无极AI
发消息";14;136;150;82238;0.0018239743184415964
"巴西烤肉a
发消息";10;244;254;82238;0.0030885965125611032
"长崎武浅靖_
发消息";1;10;11;82238;0.00013375811668571707
"云酒吧工作室
发消息";66;755;821;82238;0.009983219436270337
"吃屁猪猪侠GPT
发消息";14;22;36;82238;0.00043775383642598314
"AI视频工作室官方
发消息";9;37;46;82238;0.0005593521243220896
