发布者;群体情绪;时间
电商报;0.007373608596479965;2023-03-02 18:02:36
皇家校长皇家校长;9.085795975396353e-05;2023-03-02 18:02:19
贝果财经;0.0005307956274081794;------
指汇盈;-0.0005156388883721381;2023-03-02 17:51:46
wuxianlin;0.00018625353710708547;2023-03-02 17:50:51
你们的隔壁老王啊;0.0005291723823216669;2023-03-02 17:51:16
花甲麟;0.0005292008390472456;2023-03-02 17:51:28
运营商的秘密;0.0007939666010081506;2023-03-02 17:51:34
清照徽因225;-0.0003347687019346573;2023-03-02 17:51:42
丁振凯;-0.0036124241070963586;2023-03-02 17:54:14
电商行业;-0.00042110035666696467;2023-03-02 17:52:12
深泉者行;0.0;2023-03-02 17:55:55
三言科技;-0.0002976069590672512;2023-03-02 17:55:55
爱记仇的小熊猫;0.01876237219301573;2023-03-02 17:51:57
zzzv2;-0.0005297556157218203;2023-03-02 17:57:03
阿远不开车;0.001483175448542066;2023-03-02 17:55:41
2gua;0.0008182336234870496;2023-03-02 17:59:42
岳川博;0.005478180605584889;2023-03-02 17:59:42
八月俊杰;0.0007732953818600536;2023-03-02 17:58:55
天津股侠;0.006819921874254789;2023-03-02 17:58:20
白展堂会梦见电子羊吗;0.000903392232539503;2023-03-02 17:56:41
种花家的小钱钱呢;0.000529793047650976;2023-03-02 17:54:14
黑马王子得一;0.0019704368517798228;2023-03-02 17:53:49
DadaYes_106;0.0013292925509215572;2023-03-02 17:52:25
DiscountedCheerFlow;-0.00029423350366418233;2023-03-02 17:52:23
房长沙V;0.00010309748275146629;2023-03-02 18:22:21
长颈鹿的围脖儿;0.000786686385425695;2023-03-02 18:20:32
齐鲁大D;0.00010843713502834703;2023-03-02 18:01:52
无形又无相;-0.0007840674296222203;2023-03-02 18:00:22
逆风飞扬0414;9.664063239612289e-05;2023-03-02 17:59:57
阿弥陀佛007;0.0004966141363760333;2023-03-02 17:59:19
百度;0.02453700762113361;2023-03-02 17:57:52
LT_HW;-0.0004525045528430012;2023-03-02 17:57:26
北京新触点;0.000306162591303887;2023-03-02 17:55:07
木偶人Moon_Man;0.0005291580063588716;2023-03-02 17:54:40
LyhhhhhZz;-0.0005547618359569193;2023-03-02 17:54:14
老谭电商;0.03556593403895081;2023-03-02 17:53:50
微思敦;0.00030574318506156555;2023-03-02 17:58:15
ChatCooker;0.0015878245046680446;2023-03-02 17:56:13
鼎盛风清;0.003970994698866168;2023-03-02 17:55:43
格竹熊;0.0396258131676522;2023-03-02 17:55:13
元宇宙途说;0.00026820606194619725;2023-03-02 17:52:49
北京人寿;0.015925241968173288;2023-03-02 17:52:47
电商报;-0.006727548625459956;2023-03-02 17:54:25
互联网的大事儿;0.0013409701086467627;2023-03-02 17:53:18
青年英俊有才华;0.0005249380860802683;2023-03-02 17:56:27
互联网的一些事;0.0017662082960794158;2023-03-02 18:03:49
万顺叫车;-0.0006736325147803286;2023-03-02 18:03:20
超能财经;-0.0008293481928510532;2023-03-02 18:02:15
北京人寿;0.006480062005787789;2023-03-02 17:57:49
八月俊杰;0.001313529582419576;2023-03-02 17:57:48
爱昕爵螺;-0.0005094551039431792;2023-03-02 17:57:25
广西小wu;0.3013239578692825;2023-03-02 17:54:25
程序员灵爸双减带娃;-0.0014575812792881153;2023-03-02 17:53:11
张栋伟;0.004512868766172384;2023-03-02 17:53:04
爱羽毛;0.0008750576756801033;2023-03-02 17:53:01
信海光;-0.00012220928160009494;2023-03-02 17:52:06
正经社;0.000562328504614381;2023-03-02 17:51:47
科技刚子;0.007538365404094213;2023-03-02 17:51:37
财联社APP;0.0008497846470379895;2023-03-02 17:51:29
Apache9;-0.0003122691473068974;2023-03-03 10:26:47
我失去了睡懒觉的超能力;-0.0004600355332294346;2023-03-02 14:02:57
林优秀88;0.020599801591928407;2023-03-02 09:07:01
何夕;0.0003264870895063754;------
丸子桑嘛;-0.0017874018784523984;2023-03-03 21:59:22
差评君;-0.001352726520923346;------
房长沙V;-0.0004584621690724122;2023-03-04 19:34:34
AI大数据时代;0.001320368004932152;------
云南516;0.00035691917646270526;2023-03-03 17:20:08
SandyCity;-0.0006336049437445464;2023-03-03 17:25:12
成林说;0.0022574761023771103;2023-03-04 20:33:35
Zz趙威wW;0.0004884545543314684;2023-03-03 18:07:18
翻电GPT;0.0040513553204669095;2023-03-03 17:24:39
电商行业;0.01170864362078726;2023-03-03 17:21:19
苏可可fanyang;0.000650989625546834;2023-03-03 17:20:56
黑白的miss白;0.0009922748083137447;2023-03-03 17:18:45
GXY的股事;0.0005297927289224811;2023-03-03 17:20:18
势之为重;0.0006344256211099621;2023-03-03 17:18:56
南朋友数藏元宇宙;0.006565250354597018;------
风云学会陈经;0.008511319931446715;2023-03-03 17:02:48
嗷呜百事;1.1414343209357347e-05;2023-03-03 17:02:12
还是韦恩;0.0006442384121186127;2023-03-03 17:01:48
百度;0.0015205731128418599;------
于欣烈;9.773580768487406e-05;2023-03-04 22:18:42
曾经那瞬间;0.00028149042215581857;------
方向对了的欢哥;0.0006478387625225443;2023-03-04 17:43:18
胡引成;0.000526023631354423;2023-03-04 17:38:51
montotooooo;-0.00044523864643759907;2023-03-04 17:40:58
天涯姑苏小三房;0.000550228597773697;2023-03-04 17:56:07
岚图汽车;0.000672012482528795;2023-03-04 17:58:34
胖虎鲸;-0.0053636042185745995;2023-03-04 17:38:04
可以叫我山姆;0.0038777333004837962;2023-03-05 04:56:05
猩猩吸猩猩;0.003301312844009012;2023-03-04 18:08:51
葛东生;0.00016732338353078288;2023-03-04 17:57:36
雪霁风飞叶;0.00015182650345756034;2023-03-04 17:54:42
生命的轨迹1972;-0.0010404639180728406;2023-03-04 17:50:36
view2future;0.00015045072346012904;2023-03-04 17:50:26
阿龙哥BLOG;-0.00017946326860775183;2023-03-04 17:49:23
新浪财经;-0.009092435546703196;2023-03-04 17:47:23
Moonbeam43;0.0007541918999088827;2023-03-04 17:46:51
葛东生;4.752212186532951e-05;2023-03-04 17:46:41
马男说投资;6.745857740523077e-05;2023-03-04 17:44:56
电动知士运营小妹;2.3338402257488582e-05;2023-03-04 17:40:38
SongJin1123_;0.0004276288533363451;2023-03-04 17:39:48
轻轻的go;0.0002937930743822123;2023-03-04 17:38:31
财经网科技;-0.0007862937046461999;2023-03-04 17:56:35
丁振凯;-9.978964876184854e-05;2023-03-04 17:52:09
瘦东东即将拥有人鱼线;0.00015682834853814506;2023-03-04 17:49:02
以史为鉴V;-0.0021786300940943937;2023-03-04 17:48:54
钱江晚报;0.002291946637959874;2023-03-04 17:46:45
头条新闻;0.01214441552814235;2023-03-04 17:59:55
百度;0.0007360445679044635;2023-03-04 17:57:16
灯笼鬼打工手册;-0.0028573422489098876;2023-03-04 17:53:15
森赛;0.0006464257179280245;------
传媒老王;0.0032143316497798904;2023-03-04 17:35:42
荒井健一ak;-8.582444111634421e-05;2023-03-04 17:40:34
Yufengxxx;0.000824729560451642;2023-03-04 17:39:36
模型预测;0.005392669410729712;2023-03-04 17:35:06
刘兴亮;0.000225402043040982;2023-03-04 19:41:51
陆锡鑫;0.0010638656283284112;2023-03-04 18:00:05
凤凰网科技;0.001298321100702844;2023-03-04 17:49:20
IT之家;-0.0013330852361465053;2023-03-04 17:41:53
股票检测工程师;0.00023985020970476877;2023-03-04 17:36:27
胖哥杨力;-0.0011811006204205056;2023-03-04 17:49:21
土肥圆阿囧_咕噜碳教成员;0.0016348564951854832;2023-03-04 19:40:15
金融界网站;-0.001060101934272107;2023-03-04 17:48:20
猩猩吸猩猩;-0.004526952787637828;2023-03-04 19:43:21
凤凰网科技;0.002079936052833658;2023-03-04 19:42:02
科技最前线V;-0.00042597303019689464;2023-03-04 19:42:00
战斧Cosplay创造;0.0008662428687941819;2023-03-04 19:40:36
相三三三;-9.033473657278195e-05;2023-03-04 19:40:35
财联社APP;0.007957592050659252;2023-03-04 19:40:26
多维财经;0.003991260540822619;------
暗金色月亮;0.0009026517663536697;2023-03-04 17:38:17
八月俊杰;0.0006727930688700039;2023-03-04 17:41:40
史炎nacl;0.034105888203262644;2023-03-04 17:45:21
21世纪经济报道;0.0;2023-03-04 17:42:39
大河报;0.005733187842601947;2023-03-04 17:47:07
Jingle粳米;0.0006719250040350828;2023-03-04 17:46:22
Mrs张小桃;-0.0005301456152326719;2023-03-04 20:15:29
太二在逃酸菜鱼;0.0005291563862657174;2023-03-04 17:49:36
SMGNEWS;-0.00035503253046047256;2023-03-04 17:44:00
没有胶原蛋白成员阿袂;-0.00030224207815927493;2023-03-04 17:48:01
刘兴亮;4.0212941608219266e-05;2023-03-04 17:41:41
不交朋友;0.0005291912939149079;2023-03-04 20:14:06
真冬O;0.001515915133289114;2023-03-04 17:45:23
投资界微博;0.0010623770428561882;2023-03-04 18:01:01
互联网八哥;0.0003906653078489557;2023-03-04 17:45:14
第一财经日报;-0.0006625721691372535;2023-03-05 17:03:24
AutoportraitVanGogh;0.002879610629475269;2023-03-04 20:18:21
投行泰山;-3.741883902391329e-05;2023-03-04 18:02:18
硅谷陈源-海外杂谈;0.002666418852664881;2023-03-04 18:00:08
五十一堆金子_;-0.00018977680042346094;2023-03-04 17:48:26
卖女孩的小男孩i;0.00018814203421102516;2023-03-04 17:47:46
愿望长高没;-0.0004137908855273866;2023-03-04 17:44:35
进击的大张伟;0.0005292034094479602;2023-03-04 17:42:39
创业邦;0.0;2023-03-04 17:42:33
新浪财经;0.001251979040243075;2023-03-04 17:41:45
浙人无为;-2.7830320821759126e-05;2023-03-04 17:41:29
异次元软件X;-0.0011011781912026674;2023-03-04 18:58:10
第一财经日报;-0.0011751374417945542;2023-03-04 20:16:56
友情小爪;0.00047642641073874706;2023-03-04 19:00:38
浙人无为;0.0014939835613716305;2023-03-04 18:58:18
蔓越莓杏仁可颂;1.5252999921249913e-05;2023-03-04 18:58:11
幻想滚去平原午休;0.0004066582752870025;2023-03-04 18:58:05
第一财经;0.005814485252301485;2023-03-04 18:58:01
御马爷;0.0020678123654115617;2023-03-04 18:57:59
日知_PolyU;-0.0005526414871426737;2023-03-04 18:57:59
巴伦周刊;0.0026481083680090257;2023-03-04 18:57:59
许子东;0.03728956148499712;2023-03-04 18:56:49
数码科技大爆炸VVV;0.002786301804548624;------
网际飞侠;-3.5428425155814705e-07;2023-03-05 01:30:35
景云的语;-0.00039867491495755385;2023-03-05 04:59:56
财经杂志;-0.001065134143759103;2023-03-04 23:28:57
番茄殿下;0.002792555962741219;2023-03-04 21:53:57
光子星球;0.012251353830815423;------
雷达财经;0.0008638077246568317;2023-03-05 18:23:20
环球市场播报;0.0018014124735449262;2023-03-05 18:23:03
番茄殿下;-0.0004175074205609725;2023-03-05 18:22:40
金融界网站;0.002349942412531218;2023-03-05 18:23:00
当然是小夫啦;-0.0006037718655213931;2023-03-05 18:22:53
一颗瓶子和一只羊;0.0005601506752975236;2023-03-05 18:22:53
来自故事-;0.0010583102856569235;2023-03-05 18:22:50
王冰汝;0.037367110901618684;2023-03-05 18:22:47
宁萌zz;0.0005291554879650384;2023-03-05 18:22:47
老罗Champion;0.0007325128170006474;2023-03-05 18:22:47
不交朋友;-0.00019087258986367225;2023-03-05 18:22:44
默默天下芬芳;0.0010583106355213983;2023-03-05 18:22:43
姬永锋;0.0025869618428035297;------
进击的兔子ray;-0.00046833923921868795;2023-03-05 18:08:14
汀苑小同学;4.050071503201809e-05;2023-03-05 18:07:59
正和岛标准;0.00013749673103658738;2023-03-05 18:07:56
第一财经日报;0.0019744378835615793;2023-03-05 18:07:54
爱机撕mo人;0.0007300065265887936;2023-03-05 18:07:46
魏春亮;-0.00039299908672967;2023-03-05 18:08:18
爱机撕mo人;0.0007937680292791209;2023-03-05 18:08:04
科创板日报;0.020398037255446814;2023-03-05 18:08:03
格诺爱数码;-0.0005207213562395458;2023-03-05 18:08:02
财联社APP;-0.012367435554650447;2023-03-05 18:08:01
百忍说;-0.0005147373404112123;2023-03-05 18:07:58
皮皮推;-0.0004572682052473598;2023-03-05 18:07:58
一九八四丰臻;0.0004125748041732881;2023-03-05 18:09:14
财经杂志;0.00037353619841180705;2023-03-05 18:09:09
魏春亮;0.00025757174264037455;2023-03-05 18:09:04
寒塘秋鹤;0.0007938034885164476;2023-03-05 18:08:58
杨天婴;0.0018928282541426974;2023-03-05 19:44:10
爷真不是吴彦祖;-0.00022671253895360707;2023-03-05 18:10:44
方脑壳邓铂鋆;0.009181610564307234;------
阿怪的健;0.0007128330578380143;2023-03-05 18:38:22
哈侠;0.0009103745538045569;------
Kevin在纽约;0.022353078632226128;2023-04-01 21:06:03
Jession2022;0.0005291928698810114;2023-03-06 22:39:43
种斌Marco;-0.00011633191689955657;2023-03-06 22:39:24
柔妍自得;0.00034772615533447545;2023-03-06 22:38:49
天启元元;0.00045211425582101237;2023-03-06 22:39:39
不是那片海了;0.002421349905883007;2023-03-06 22:39:15
杜立言;0.0003387471656698237;2023-03-06 22:39:14
填鸭式教育受害者;0.003117539379028118;2023-03-06 22:40:56
爱传播新传考研;0.0009604334503799079;2023-03-06 22:39:53
港式冻茶柠;0.0006825019184303508;2023-03-06 22:39:41
小明Voix;0.009704830232889369;2023-03-06 22:39:16
赵刚先生;0.0016551146616956437;2023-03-06 22:38:51
杜立言;0.0014537356547069838;2023-03-06 22:38:48
邓小兔价值投资日记;0.0008860349313562472;------
极客公园;0.0005309215764519706;2023-03-06 22:56:19
复旦张_军平;-0.0004669176553009728;2023-03-06 22:55:30
景云的语;-0.002219581311969247;2023-03-06 23:06:35
荐见;0.010109432969775779;2023-03-06 22:57:17
江瀚的视野;0.0028595105604212754;2023-03-06 22:56:05
信阳茶叶;0.0007937331066582524;2023-03-06 22:57:11
Quincy_Liu;-0.0008998499899184073;2023-03-06 22:55:44
科技小辛;0.023094882206237583;2023-03-06 22:55:17
追剧小鬼才;0.02295885888079641;2023-03-06 22:55:16
迷惑;0.025545867312968564;------
手机中国;-0.00037134333222495496;2023-03-06 22:15:47
憨憨行为图鉴;0.02019139131924524;2023-03-06 22:15:32
谍中谍2021;0.0005355033011359671;2023-03-06 22:13:54
摸鱼段子手;0.01967876862855354;2023-03-06 22:36:21
上班摆烂青年;0.026088390587743628;2023-03-06 22:16:52
臭弟弟;0.01612105784609428;2023-03-06 22:16:41
财经网科技;0.0;2023-03-06 22:16:32
内涵台长;0.01997678919103779;2023-03-06 22:16:27
小老虎不虎吖;0.0005291555510036827;2023-03-06 22:16:26
憨憨老师;0.02753282853963481;2023-03-06 22:16:21
恋爱投递员;0.017670999145933355;2023-03-06 22:16:20
趣味无限大集合;0.0826568605694607;2023-03-06 22:16:16
剧娱安利;0.0822922668319132;2023-03-06 22:16:15
任泽平;0.08400088935776959;2023-03-06 22:15:59
深蓝财经;0.0013825980307234302;2023-03-06 22:15:57
麻辣村花;0.07973842643482061;2023-03-06 22:15:50
湖苑洪舟;0.0001569882415273154;2023-03-06 22:15:49
戏精趣闻榜;0.08098496694825566;2023-03-06 22:15:43
金融八卦女;0.0030212466113783685;2023-03-06 22:15:44
懒人酱;0.08220725187954522;2023-03-06 22:15:43
书摘选集;0.08230349856865429;2023-03-06 22:15:42
全球第一恶搞;0.08358505005122455;2023-03-06 22:15:36
娱知秋;0.07891941456566655;2023-03-06 22:15:34
音乐剧综少女;0.08095121559772418;2023-03-06 22:15:34
香港經濟日報;0.000741086437926743;2023-03-06 22:15:34
独立经济学家徐爽-金融派;-0.0006154653203819057;2023-03-06 22:15:28
我想起一个特别特别长的ID;-0.00014918942820980687;2023-03-06 22:15:27
酷玩实验室;-0.0013516908193616725;2023-03-06 22:15:26
搜狐财经;0.0002442632304323477;2023-03-06 22:15:24
我欲乘风归去z;0.000529155191683411;2023-03-06 22:15:23
凯雷;0.0020472977252504712;2023-03-06 22:15:22
At_P1NK_Ver2;0.002117754151346535;2023-03-06 22:15:16
君子和而不同999;-0.0014045780483368901;2023-03-06 22:15:16
倒吸一口凉屁;0.0007967136024034701;2023-03-06 22:15:13
假装正经的楼哥;0.09948150079962975;2023-03-06 22:15:09
郭咏;0.0013350908651991043;2023-03-06 22:13:24
朱烨crystal;0.0019365897480485036;2023-03-06 22:12:59
