发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
2gua;7;22;29;8296;0.0034956605593056897
岳川博;44;123;167;8296;0.020130183220829316
八月俊杰;1;2;3;8296;0.0003616200578592093
天津股侠;40;1386;1426;8296;0.1718900675024108
白展堂会梦见电子羊吗;2;3;5;8296;0.0006027000964320154
种花家的小钱钱呢;1;1;2;8296;0.00024108003857280618
黑马王子得一;2;6;8;8296;0.0009643201542912247
DadaYes_106;2;3;5;8296;0.0006027000964320154
DiscountedCheerFlow;1;4;5;8296;0.0006027000964320154
房长沙V;2;8;10;8296;0.0012054001928640309
长颈鹿的围脖儿;1;2;3;8296;0.0003616200578592093
齐鲁大D;2;17;19;8296;0.002290260366441659
无形又无相;1;2;3;8296;0.0003616200578592093
逆风飞扬0414;1;1;2;8296;0.00024108003857280618
阿弥陀佛007;3;3;6;8296;0.0007232401157184186
百度;502;336;838;8296;0.10101253616200578
LT_HW;6;37;43;8296;0.005183220829315333
北京新触点;1;3;4;8296;0.00048216007714561236
木偶人Moon_Man;1;1;2;8296;0.00024108003857280618
LyhhhhhZz;3;3;6;8296;0.0007232401157184186
老谭电商;8;117;125;8296;0.015067502410800385
微思敦;3;9;12;8296;0.0014464802314368371
ChatCooker;2;4;6;8296;0.0007232401157184186
鼎盛风清;3;13;16;8296;0.0019286403085824494
格竹熊;110;582;692;8296;0.08341369334619093
元宇宙途说;2;1;3;8296;0.0003616200578592093
北京人寿;36;43;79;8296;0.009522661523625844
电商报;43;244;287;8296;0.034594985535197686
互联网的大事儿;5;3;8;8296;0.0009643201542912247
青年英俊有才华;1;1;2;8296;0.00024108003857280618
互联网的一些事;3;5;8;8296;0.0009643201542912247
万顺叫车;2;2;4;8296;0.00048216007714561236
超能财经;5;21;26;8296;0.00313404050144648
北京人寿;29;29;58;8296;0.006991321118611379
八月俊杰;2;3;5;8296;0.0006027000964320154
爱昕爵螺;1;4;5;8296;0.0006027000964320154
广西小wu;60;4924;4984;8296;0.600771456123433
程序员灵爸双减带娃;2;4;6;8296;0.0007232401157184186
张栋伟;4;19;23;8296;0.002772420443587271
爱羽毛;1;4;5;8296;0.0006027000964320154
信海光;3;4;7;8296;0.0008437801350048216
正经社;2;2;4;8296;0.00048216007714561236
科技刚子;58;411;469;8296;0.05653326904532305
财联社APP;1;10;11;8296;0.001325940212150434
Apache9;42;250;292;8296;0.0351976856316297
我失去了睡懒觉的超能力;2;1;3;8296;0.0003616200578592093
林优秀88;48;392;440;8296;0.05303760848601736
何夕;9;46;55;8296;0.00662970106075217
丸子桑嘛;33;240;273;8296;0.03290742526518804
差评君;40;475;515;8296;0.06207810993249759
房长沙V;1;2;3;8296;0.0003616200578592093
AI大数据时代;32;39;71;8296;0.008558341369334619
云南516;1;10;11;8296;0.001325940212150434
SandyCity;1;2;3;8296;0.0003616200578592093
成林说;3;17;20;8296;0.0024108003857280617
Zz趙威wW;2;3;5;8296;0.0006027000964320154
翻电GPT;1;26;27;8296;0.0032545805207328834
电商行业;17;66;83;8296;0.010004821600771456
苏可可fanyang;3;6;9;8296;0.0010848601735776277
黑白的miss白;1;4;5;8296;0.0006027000964320154
GXY的股事;1;1;2;8296;0.00024108003857280618
势之为重;8;49;57;8296;0.006870781099324976
南朋友数藏元宇宙;11;45;56;8296;0.006750241080038573
风云学会陈经;24;126;150;8296;0.01808100289296046
嗷呜百事;2;1;3;8296;0.0003616200578592093
还是韦恩;1;7;8;8296;0.0009643201542912247
百度;5;13;18;8296;0.0021697203471552555
于欣烈;1;6;7;8296;0.0008437801350048216
曾经那瞬间;2;1;3;8296;0.0003616200578592093
方向对了的欢哥;4;1;5;8296;0.0006027000964320154
胡引成;1;1;2;8296;0.00024108003857280618
montotooooo;2;1;3;8296;0.0003616200578592093
天涯姑苏小三房;3;6;9;8296;0.0010848601735776277
岚图汽车;23;81;104;8296;0.01253616200578592
胖虎鲸;35;324;359;8296;0.04327386692381871
可以叫我山姆;8;11;19;8296;0.002290260366441659
猩猩吸猩猩;16;70;86;8296;0.010366441658630666
葛东生;2;9;11;8296;0.001325940212150434
雪霁风飞叶;2;1;3;8296;0.0003616200578592093
生命的轨迹1972;1;5;6;8296;0.0007232401157184186
view2future;3;2;5;8296;0.0006027000964320154
阿龙哥BLOG;7;2;9;8296;0.0010848601735776277
新浪财经;8;45;53;8296;0.006388621022179364
Moonbeam43;1;3;4;8296;0.00048216007714561236
葛东生;3;4;7;8296;0.0008437801350048216
马男说投资;2;1;3;8296;0.0003616200578592093
电动知士运营小妹;2;2;4;8296;0.00048216007714561236
SongJin1123_;6;3;9;8296;0.0010848601735776277
